Time,Open,High,Low,Close,Volume
2019.02.13 11:00:00,1.13272,1.13339,1.13201,1.13203,3095
2019.02.13 10:00:00,1.13192,1.13279,1.13125,1.13272,3184
2019.02.13 09:00:00,1.13319,1.13331,1.13186,1.13193,2572
2019.02.13 08:00:00,1.13376,1.13384,1.13293,1.13319,1280
2019.02.13 07:00:00,1.13364,1.13392,1.13338,1.13378,1065
2019.02.13 06:00:00,1.134,1.134,1.13357,1.13364,971
2019.02.13 05:00:00,1.13353,1.1341,1.13346,1.134,1143
2019.02.13 04:00:00,1.13348,1.1338,1.13332,1.13353,1518
2019.02.13 03:00:00,1.13275,1.13361,1.13273,1.13348,2474
2019.02.13 02:00:00,1.13332,1.13351,1.13266,1.13274,1252
2019.02.13 01:00:00,1.13282,1.1338,1.1328,1.13333,1281
2019.02.13 00:00:00,1.13261,1.13297,1.1324,1.13288,1082
2019.02.12 23:00:00,1.13312,1.13324,1.13243,1.13246,895
2019.02.12 22:00:00,1.13316,1.13349,1.1329,1.13312,1567
2019.02.12 21:00:00,1.13311,1.13366,1.133,1.13316,1458
2019.02.12 20:00:00,1.13193,1.13392,1.1319,1.13308,3528
2019.02.12 19:00:00,1.13152,1.13223,1.13126,1.13192,2624
2019.02.12 18:00:00,1.12984,1.13215,1.1298,1.13152,4384
2019.02.12 17:00:00,1.1295,1.12992,1.12869,1.12983,3422
2019.02.12 16:00:00,1.12923,1.13032,1.12896,1.12948,3200
2019.02.12 15:00:00,1.12889,1.12971,1.12882,1.12922,2837
2019.02.12 14:00:00,1.1282,1.12952,1.12797,1.12889,3431
2019.02.12 13:00:00,1.12858,1.12859,1.12735,1.12819,2209
2019.02.12 12:00:00,1.12739,1.12859,1.12725,1.12858,2067
2019.02.12 11:00:00,1.12655,1.12759,1.12622,1.12739,2501
2019.02.12 10:00:00,1.12847,1.129,1.12573,1.12655,4879
2019.02.12 09:00:00,1.12837,1.12875,1.12784,1.12847,2709
2019.02.12 08:00:00,1.1279,1.12851,1.12781,1.12837,1123
2019.02.12 07:00:00,1.12757,1.12811,1.12745,1.1279,896
2019.02.12 06:00:00,1.12801,1.12801,1.12756,1.12757,653
2019.02.12 05:00:00,1.12833,1.12834,1.12788,1.128,901
2019.02.12 04:00:00,1.12818,1.12847,1.1278,1.12833,1262
2019.02.12 03:00:00,1.12757,1.12823,1.12735,1.12818,1862
2019.02.12 02:00:00,1.12781,1.12791,1.12719,1.12757,1547
2019.02.12 01:00:00,1.12767,1.12787,1.1274,1.12781,859
2019.02.12 00:00:00,1.12743,1.12772,1.12735,1.12767,392
2019.02.11 23:00:00,1.1276,1.1277,1.12739,1.12748,799
2019.02.11 22:00:00,1.12757,1.12779,1.12742,1.12761,1867
2019.02.11 21:00:00,1.12703,1.12774,1.12694,1.12757,1527
2019.02.11 20:00:00,1.12702,1.12734,1.12675,1.12703,1647
2019.02.11 19:00:00,1.12757,1.12786,1.12686,1.12702,2207
2019.02.11 18:00:00,1.12756,1.12831,1.12744,1.12756,3050
2019.02.11 17:00:00,1.12913,1.13011,1.12717,1.12756,4613
2019.02.11 16:00:00,1.131,1.13116,1.12821,1.12913,4317
2019.02.11 15:00:00,1.1312,1.13142,1.13052,1.131,3161
2019.02.11 14:00:00,1.13133,1.13136,1.1303,1.1312,2310
2019.02.11 13:00:00,1.13037,1.13211,1.13034,1.13133,2972
2019.02.11 12:00:00,1.13023,1.13054,1.12964,1.13035,2607
2019.02.11 11:00:00,1.1311,1.13161,1.13016,1.13023,3044
